Wall time,Step,Value
1523847885.16419,35595,106822.9765625
1523848099.636503,35795,107236.6171875
1523848207.506855,35895,117389.6171875
1523848315.427828,35995,103118.984375
1523848422.577565,36095,89799.0625
1523848529.749192,36195,107255.359375
1523848636.993351,36295,101603.359375
1523849066.745565,36695,102651.296875
1523849174.168075,36795,99395.8359375
1523849389.319947,36995,104808.9375
1523849496.733078,37095,117059.375
1523849711.218711,37295,90399.671875
1523849762.611576,37328,104728.296875
1523849977.64332,37528,118763.5625
1523850085.174406,37628,134554.8125
1523850192.788616,37728,110099.78125
1523850300.390588,37828,131507.515625
1523850407.709369,37928,99921.09375
1523850514.971263,38028,96578.625
1523850622.533194,38128,94044.59375
1523850944.634663,38428,104835.0
1523851159.840818,38628,112799.578125
1523851374.753334,38828,92527.765625
1523851589.780644,39028,103121.171875
1523851697.127618,39128,104499.5703125
1523851912.094945,39328,130399.671875
1523852126.734723,39528,117422.53125
1523852286.051631,39661,109434.3671875
1523852501.125191,39861,99183.75
1523852608.340524,39961,105819.1015625
1523852715.586351,40061,122756.9609375
1523853037.462957,40361,106816.359375
1523853252.249334,40561,122744.9140625
1523853467.38669,40761,97132.1875
1523853574.782568,40861,98803.921875
1523853682.279503,40961,96892.890625
1523853790.116587,41061,96506.15625
1523854006.363058,41261,105512.046875
1523854113.696414,41361,85453.703125
1523854221.139171,41461,88915.890625
1523854543.737828,41761,112855.953125
1523854651.164667,41861,95739.71875
1523854810.323809,41994,104973.546875
1523854917.92522,42094,98752.265625
1523855132.085773,42294,87869.890625
1523855454.353924,42594,94978.4921875
1523855669.265287,42794,90612.8984375
1523855776.52077,42894,99855.59375
1523855883.89202,42994,101152.59375
1523855991.182178,43094,95835.6953125
1523856313.41761,43394,88317.390625
1523856851.725699,43894,64077.28125
1523856959.141883,43994,85802.546875
1523857066.396936,44094,100529.0078125
1523857449.741493,44427,108180.984375
1523857558.230802,44527,100705.46875
1523857668.049876,44627,87202.109375
1523857995.98275,44927,99382.015625
1523858104.889329,45027,86835.359375
1523858214.69052,45127,119536.7421875
1523858322.247134,45227,104401.234375
1523858542.393248,45427,113313.0234375
1523858649.517834,45527,92774.7265625
1523858756.675291,45627,96739.4765625
1523858974.408297,45827,81171.140625
1523859081.559127,45927,123548.890625
1523859193.949439,46027,105018.828125
1523859301.202289,46127,98091.4375
1523859520.252634,46327,97752.3671875
1523859735.27199,46527,94386.140625
1523859842.821271,46627,73681.859375
1523860108.755822,46860,90800.3359375
1523860327.599943,47060,109699.78125
1523860434.802665,47160,109326.9921875
1523860542.386549,47260,89965.6328125
1523860867.772466,47560,101488.46875
1523860974.868057,47660,100044.875
1523861189.597637,47860,85090.203125
1523861297.390866,47960,80327.3828125
1523861404.361598,48060,89635.359375
1523861516.096085,48160,89123.0546875
1523861623.222106,48260,101093.9296875
1523861837.711531,48460,88802.921875
1523861944.952962,48560,93560.4453125
1523862052.022515,48660,96542.4375
1523862377.067455,48960,85536.5625
1523862428.507453,48993,98509.46875
1523862535.642845,49093,91870.4453125
1523862642.875571,49193,110761.4453125
1523862750.091904,49293,85391.28125
1523862857.131293,49393,92738.2265625
1523862964.170201,49493,96363.078125
1523863071.418239,49593,110493.765625
1523863178.498412,49693,95627.1875
1523863501.073709,49993,116095.8046875
1523863715.226406,50193,96673.234375
1523863822.235464,50293,94099.484375
1523864143.586778,50593,75670.078125
1523864358.523113,50793,102352.15625
1523864465.464331,50893,91972.953125
1523864679.483164,51093,92184.2578125
1523864894.572481,51293,92265.3828125
1523865053.452441,51426,91182.109375
1523865378.736585,51726,88734.96875
1523865488.31325,51826,86103.515625
1523865595.451069,51926,102303.015625
1523865702.672583,52026,101405.4921875
1523865809.755392,52126,83299.1640625
1523865916.915064,52226,85487.359375
1523866024.29941,52326,83870.9765625
1523866131.960783,52426,100740.7578125
1523866239.004804,52526,93228.6953125
1523866346.010055,52626,85253.546875
1523866453.003853,52726,92851.1875
1523866563.354967,52826,100635.7734375
1523866670.697911,52926,90196.8203125
1523866777.714145,53026,105170.390625
1523866884.868989,53126,96987.28125
1523867099.289244,53326,78896.328125
1523867206.329445,53426,114482.5078125
1523867313.433303,53526,76754.53125
1523867471.923494,53659,82701.0078125
1523867686.281244,53859,73058.90625
1523868008.282487,54159,102629.15625
1523868120.158827,54259,85770.65625
1523868227.606951,54359,116731.0390625
1523868550.462272,54659,89523.15625
1523868658.841571,54759,103122.25
1523868874.175401,54959,73499.34375
1523868981.418087,55059,68974.15625
1523869088.891054,55159,84447.46875
1523869523.236659,55559,76045.125
1523869630.589723,55659,101959.609375
1523869845.888411,55859,95935.140625
1523870112.358652,56092,85250.796875
1523870219.44175,56192,90457.015625
1523870433.707015,56392,95324.3828125
1523870755.476817,56692,111259.09375
1523870862.477524,56792,89230.5234375
1523870969.777644,56892,94718.4375
1523871184.019413,57092,106859.84375
1523871291.827335,57192,84325.0390625
1523871506.313762,57392,73752.1796875
1523871613.350936,57492,112509.828125
1523871721.32595,57592,81389.953125
1523871828.44756,57692,95571.6015625
1523871935.682668,57792,98764.984375
1523872257.336339,58092,91073.6796875
1523872364.377408,58192,75342.25
1523872522.965668,58325,73902.4140625
1523872630.352288,58425,89887.453125
1523872737.252794,58525,73925.109375
1523872845.135054,58625,76296.3125
1523873273.994084,59025,82069.8125
1523873380.882162,59125,79163.9921875
1523873488.012876,59225,80501.875
1523873915.762828,59625,93872.265625
1523874022.81468,59725,92141.328125
1523874129.95119,59825,93630.703125
1523874237.066411,59925,69472.4921875
1523874344.206032,60025,87971.4609375
1523874665.970653,60325,88005.3359375
1523874773.276385,60425,88189.703125
1523874987.293983,60625,99353.5859375
1523875145.791619,60758,99310.6953125
1523875360.277336,60958,80888.53125
1523875574.268383,61158,87328.5078125
1523875681.502292,61258,84182.0078125
1523875895.640878,61458,93457.828125
1523876002.562794,61558,88197.3515625
1523876216.548625,61758,68684.4453125
1523876430.550671,61958,90112.0625
1523876753.306041,62258,86801.7265625
1523876860.473708,62358,84287.359375
1523877074.634926,62558,106244.609375
1523877289.060502,62758,84654.03125
1523877398.369529,62858,83575.8125
1523877560.745122,62991,78557.5
1523877668.592805,63091,95255.9296875
1523877776.104476,63191,87383.28125
1523877990.30037,63391,87198.4375
1523878097.565073,63491,71580.484375
