Wall time,Step,Value
1523713473.241818,87684,171895.25
1523713688.788249,87884,187841.265625
1523714119.443066,88284,153315.3125
1523714227.201072,88384,134208.65625
1523714334.807852,88484,166755.453125
1523714616.741334,88716,141648.171875
1523714724.464423,88816,161039.8125
1523715047.627813,89116,154320.40625
1523715263.529523,89316,175798.875
1523715371.255907,89416,152999.546875
1523715478.880904,89516,143374.84375
1523715586.563092,89616,154611.328125
1523715694.059154,89716,152004.375
1523715801.669492,89816,175326.015625
1523716016.861112,90016,158822.90625
1523716124.576803,90116,139401.375
1523716340.114914,90316,126070.078125
1523716447.699556,90416,131221.9375
1523716555.307902,90516,154542.78125
1523716662.896831,90616,143376.65625
1523716878.169799,90816,187149.3125
1523717052.220182,90948,169386.875
1523717483.893929,91348,148215.875
1523717699.53681,91548,114284.671875
1523718023.119267,91848,147827.5625
1523718131.190559,91948,144534.4375
1523718238.687054,92048,137492.5
1523718454.270548,92248,170418.75
1523718561.919162,92348,132011.984375
1523718669.771112,92448,121856.265625
1523718994.028831,92748,184566.953125
1523719102.420247,92848,131617.171875
1523719209.989527,92948,150317.21875
1523719425.11743,93148,151850.90625
1523719532.525245,93248,137426.15625
1523719706.129488,93380,165765.34375
1523719813.626273,93480,154636.21875
1523719921.04935,93580,183425.75
1523720135.93064,93780,172847.96875
1523720350.793867,93980,152052.15625
1523720673.040773,94280,141201.015625
1523720995.860218,94580,141500.34375
1523721103.191557,94680,137594.125
1523721318.171022,94880,170445.5625
1523721425.704196,94980,120781.359375
1523721533.22549,95080,147960.953125
1523721640.827581,95180,144423.46875
1523721748.526518,95280,160364.140625
1523721963.552233,95480,113471.7109375
1523722071.065532,95580,155633.09375
1523722137.048722,95612,134376.171875
1523722459.970946,95912,154662.53125
1523722782.655774,96212,135205.625
1523722890.438792,96312,179027.15625
1523723105.757129,96512,149640.578125
1523723213.388899,96612,141310.09375
1523723321.143273,96712,125413.6015625
1523724183.486294,97512,154757.125
1523724291.174191,97612,139102.03125
1523724398.986309,97712,160065.125
1523724506.653022,97812,118258.203125
1523724680.674081,97944,155342.390625
1523724897.323626,98144,136926.09375
1523725004.970933,98244,135943.25
1523725112.501513,98344,145987.171875
1523726189.177647,99344,171402.15625
1523726296.626055,99444,136660.59375
1523726511.981244,99644,130525.125
1523726619.880914,99744,158226.75
1523726835.503414,99944,116892.4375
1523727158.638418,100244,133344.21875
1523727224.693546,100276,143504.859375
1523727332.874601,100376,129852.46875
1523727548.4488,100576,145403.515625
1523727656.206698,100676,158204.90625
1523727764.004161,100776,145298.125
1523728087.079016,101076,138882.328125
1523728195.331588,101176,162211.0625
1523728410.832383,101376,146355.109375
1523728518.575336,101476,133891.625
1523728626.153132,101576,158338.234375
1523728733.781645,101676,137662.078125
1523729057.408985,101976,127601.125
1523729272.650548,102176,124903.03125
1523729380.258253,102276,150452.015625
1523729487.937871,102376,131955.515625
1523729596.119068,102476,135675.328125
1523729704.404657,102576,157676.828125
1523729770.546937,102608,129538.015625
1523729878.485675,102708,136848.515625
1523729986.165509,102808,146813.40625
1523730202.14065,103008,135732.0625
1523730417.468538,103208,158979.28125
1523730525.286602,103308,121147.3828125
1523730632.837459,103408,120208.765625
1523730740.942019,103508,123816.59375
1523731064.192767,103808,140362.15625
1523731171.829863,103908,140139.734375
1523731279.650675,104008,136519.84375
1523731387.335716,104108,127541.4765625
1523731494.983137,104208,123792.21875
1523731603.165815,104308,106360.53125
1523731818.703871,104508,137380.40625
1523732141.856862,104808,161263.3125
1523732424.139394,105040,123144.1875
1523732639.589629,105240,127163.171875
1523732747.315329,105340,159238.0625
1523732854.948215,105440,147479.65625
1523732962.72183,105540,125641.84375
1523733070.3781,105640,116585.40625
1523733178.12723,105740,137940.96875
1523733393.626592,105940,146843.4375
1523733501.195,106040,139859.96875
